Episode,Character
1,A Man
1,A Sign-Holder
1,Patrons
1,Townsfolk
1,A Boy
1,The Class
1,Det. Jarvis
1,Butler
1,Head Adventurer
1,Club Members
1,Marine
1,Nurse
1,Stripper
1,Blonde
1,Dr. Neeland
1,Spontaneous Bootay
1,Guard 1
1,Guard 2
1,William
1,The Boys
1,Marksman
1,Chef
1,Tech
1,Darth Chef
1,Mr. Connolly
2,Driver
2,Darryl
2,Token
2,Craig
2,Man 2
2,Gerald and Sheila
2,DJ
2,Customer
2,Driver 1
2,Driver 2
2,Driver 3
2,Speaker
2,An officer
2,Anchor Tom
2,Singer
2,Paul
2,Gail
2,Alan
2,Boy 1
2,Boy 2
2,Attendant
2,Ranger McFriendly
2,Keenan
2,Butters
2,Network Anchor
2,Clyde
2,Richard
3,Shelly
3,Woman
3,Man
3,Sharon
3,Tom
3,Linda
3,Crowd
3,Michael
3,Chris
3,Stewie
3,Soccer Captain
3,Lois
3,Brian
3,Mr. T
3,Peter
3,Wendy
3,Principal Victoria
3,al-Zawahri
3,Kenny
3,Sheila
3,Ike
3,Stephen
3,Mr. Mackey
3,Gerald
3,Mayor McDaniels
3,Trooper
3,Stan
3,Randy
3,Jimbo
3,Farmer
3,Prof. Thomas
3,Wife
3,Dylan
3,Mrs. Garrison
3,Kyle
3,President Bush
3,FOX President
3,SNN Anchor
3,Cartman
3,Announcer
